material_id,spacegroup_symbol,spacegroup_number,original_formula,discharged_formula,charged_formula,replaced_element,vpv,discharged_energy_fu_corrected,charged_energy_fu_corrected,applied_correction,discharged_E_above_hull,charged_E_above_hull,average_voltage,mace-neb1 (meV),mace-neb2,mace-neb3,mace-neb4,other_dir,orbv3-neb1 (meV),orbv3-neb2,orbv3-neb3,orbv3-neb4,mace_candidate,orbv3_candidate,TL_neb1 (meV),TL_neb2,TL_neb3,TL_neb4,TL_candidate
mp-753259,P2_1,4,LiCo(CO3)2,CaCo(CO3)2,CoC2O6,Li,13.626609380836165,-78.16178101916323,-68.29836406585709,-5.76,0.0893210455836772,0.0904913404603249,3.94,1572.0,,,,,1975.5,,,,0,0,1456.0,,,,0
mp-1638589,P1,1,LiCo(CO3)2,CaCo(CO3)2,CoC2O6,Li,13.489264824430991,-78.16964061045505,-68.30854919946309,-5.76,0.0885350864544953,0.0893596589485472,3.94,1882.0,,,,,2043.6,,,,0,0,1411.3,,,,0
mp-1639828,P1,1,X3Li4Co4(CO3)8,CaCo(CO3)2,CoC2O6,Li,13.247755390781204,-78.07862323790425,-68.36435212932467,-5.76,0.0976368237095748,0.0831593334083704,3.87,614.0,698.0,,,,464.0,587.9,,,0,0,1094.4,1206.6,,,0
mp-1569230,P1,1,XLi4Co4(P2O7)4,CaCoP2O7,CoP2O7,Li,14.113891650853995,-84.16713867607776,-73.34883197288173,-6.447,0.0462040718176028,0.0585877232118337,4.42,973.0,,,,,868.7,,,,1,1,1514.3,,,,0
mp-705332,P2_1/c,14,LiCoP2O7,CaCoP2O7,CoP2O7,Li,14.040819226005816,-84.29182454193813,-73.65338072280663,-6.447,0.0348689931030232,0.0281328482193439,4.33,1548.0,,,,,1787.8,,,,0,0,2459.1,,,,0
mp-1176787,Cc,9,LiCoP2O7,CaCoP2O7,CoP2O7,Li,14.028496921225509,-84.13855875364479,-73.1987322939042,-6.447,0.0488022465842359,0.0735976911095868,4.48,759.0,,,,,1106.9,,,,1,0,2085.2,,,,0
mp-584942,P1,1,LiCoP2O7,CaCoP2O7,CoP2O7,Li,13.183969314913618,-84.18068515373199,-73.43153433077379,-6.447,0.0449725738490363,0.0503174874226282,4.38,1340.0,2319.0,,,,1790.3,3135.6,,,0,0,1817.8,1817.8,,,0
mp-26355,Cc,9,XLiCr(PO3)4,CaCr(PO3)4,CrP4O12,Li,13.479872316455566,-142.27901267562615,-132.15118905121724,-10.243,0.0182762104590406,0.0664107675754586,4.07,1717.0,,,,,1177.1,,,,0,0,1288.4,,,,0
mp-31950,Cc,9,LiMn(PO3)4,CaMn(PO3)4,MnP4O12,Li,14.45676934216765,-141.8553272970387,-130.92264288133555,-9.912,0.0325491554422932,0.0287020765881056,4.48,1499.0,,,,,1467.7,,,,0,0,1160.4,,,,0
mp-759017,C2/c,15,XLiMn(PO3)4,CaMn(PO3)4,MnP4O12,Li,13.903864995905913,-140.9862809566961,-130.6959194246832,-9.912,0.0808295076835499,0.0420387505088317,4.15,4320.0,,,,,4345.4,,,,0,0,1300.1,,,,0
mp-505717,C2/m,12,XLiV6O13,CaV6O13,V6O13,Li,13.721166178670725,-172.2317220231169,-164.09199645647783,-19.131,0.0387957945941632,0.0274417962380084,3.08,2136.0,,,,,2314.6,,,,0,0,1298.8,,,,0
mp-705001,P2_1/c,14,LiCrP2O7,CaCrP2O7,CrP2O7,Li,13.496944234944037,-88.69370703522509,-79.16611161674393,-6.808,0.0016564842977189,0.0770056925756161,3.77,4116.0,,,,,3921.0,,,,0,0,1370.6,,,,0
mp-705291,P2_1/c,14,LiCrP2O7,CaCrP2O7,CrP2O7,Li,14.100006097025238,-88.50161045239486,-79.50182201678146,-6.808,0.0191198100095579,0.0434346525718636,3.51,1069.0,,,,,2056.7,,,,0,0,2043.1,,,,0
mp-26571,P2_1/c,14,LiCrP2O7,CaCrP2O7,CrP2O7,Li,13.41493470720983,-88.25808016227256,-79.33700518002377,-6.808,0.0412589272934038,0.0599163362476327,3.47,768.0,988.0,,,,837.8,937.4,,,0,0,1179.2,1471.1,,,0
mp-19103,P2_1,4,LiCrP2O7,CaCrP2O7,CrP2O7,Li,13.3139247362263,-88.3328548599176,-79.52669675957645,-6.808,0.0344612275074904,0.040947178292364,3.41,787.0,,,,,925.2,,,,1,1,1927.1,,,,0
mp-1280642,Cc,9,Na2V2O5,Ca2V2O5,V2O5,Na,13.699981217169654,-72.3881992716504,-58.51284325698171,-6.835000000000001,0.0836273078721845,0.0597038040026127,2.48,1342.0,2187.0,,,and,1262.3,2230.6,,,0,0,1910.1,2338.0,,,0
mp-26443,P-1,2,LiMoP2O7,CaMoP2O7,MoP2O7,Li,14.123747730222506,-88.11082845778965,-80.48724244463857,-8.011,0.0547850132937455,0.0886678675361416,2.82,962.0,1340.0,,,,1240.1,1860.1,,,0,0,1341.8,1413.2,,,0
mp-26837,P2_1/c,14,LiMoP2O7,CaMoP2O7,MoP2O7,Li,14.421344797351392,-87.717860034232,-81.00368839104584,-8.011,0.09050941543535,0.0370232728954142,2.37,923.0,851.0,,,,2829.3,1617.1,,,0,0,1681.5,1239.5,,,0
mp-18987,P2_1,4,LiMoP2O7,CaMoP2O7,MoP2O7,Li,14.177244927575355,-87.94455197412935,-81.22026479482257,-8.011,0.0699010572628635,0.0153656325177422,2.37,840.0,,,,,1149.9,,,,1,0,1893.6,,,,0
mp-760911,Pnma,62,NaVPO5,CaVPO5,VPO5,Na,13.40367263413728,-64.7068967440723,-56.53245610849039,-5.135000000000001,0.0836164384883577,0.0292836784299428,3.1,416.0,,,,,641.2,,,,1,1,1186.3,,,,0
mp-772256,Pna2_1,33,XLiVPO5,CaVPO5,VPO5,Li,13.753669137367488,-64.61293797305267,-56.43268915029072,-5.135000000000001,0.0953612848658114,0.0435361010298969,3.1,257.0,556.0,369.0,,,351.6,805.7,630.2,,0,0,1482.1,1857.4,1836.0,,0
mp-758355,P2_1,4,XLiVPO5,CaVPO5,VPO5,Li,14.283311364977362,-64.63406441210657,-56.375203110446186,-5.135000000000001,0.0927204799840737,0.0517483924362593,3.14,798.0,239.0,,,,1016.1,480.3,,,0,0,1654.0,1402.3,,,0
